SL_NO,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,PROXIMITY,LIGHT,TIME,CONTEXT
42,-1.1426327,-0.5602432,9.69951,-0.12503172,0.17576344,-0.072702155,-2.7562501,12.637501,-60.16875,5.0,0.0,12:03:34.936890,INDOOR
43,-1.894412,-1.086369,9.718064,-0.20572312,0.2019948,-0.02130466,-15.225,9.375,-65.64375,5.0,0.0,12:03:35.338370,INDOOR
44,-1.2940661,-0.6715736,9.657013,0.08548495,0.015579033,0.23728065,-19.40625,7.275,-84.543755,5.0,0.0,12:03:35.647814,INDOOR
45,-1.869273,-0.7230489,9.726444,-0.026098209,-0.029560216,-0.052063264,-23.2875,2.1937501,-104.662506,5.0,0.0,12:03:35.949980,INDOOR
46,-1.2042835,-0.6853402,9.919178,0.36204606,-0.21784015,0.21171506,-24.431252,0.15,-114.39375,5.0,0.0,12:03:36.361037,INDOOR
47,-1.7723078,0.41838676,10.222643,0.08668334,-0.032356452,-0.15539087,-24.73125,-4.425,-128.45625,5.0,0.0,12:03:36.667555,INDOOR
48,-1.1444284,0.06943185,9.8276,0.05738943,-0.19360611,0.5820167,-17.8875,-9.0,-127.36875,5.0,0.0,12:03:36.974838,INDOOR
49,0.47165772,0.10055647,9.564836,-0.26164785,-0.3564536,-0.27043605,-10.14375,-9.50625,-119.025,5.0,0.0,12:03:37.384253,INDOOR
50,-1.2431892,0.26276365,11.366472,0.28281936,0.061783515,-0.24194105,-6.525,-4.5375004,-100.725006,5.0,0.0,12:03:37.692064,INDOOR
51,-0.9163807,-0.29867667,9.814431,-0.16857313,0.051796954,-0.146869,1.8937501,5.2312503,-88.912506,5.0,0.0,12:03:37.998273,INDOOR
52,-0.10414778,0.26156655,9.456498,0.030891757,-0.036351077,-0.3276923,6.3,11.212501,-66.675,5.0,0.0,12:03:38.305826,INDOOR
53,-0.065242,0.45968673,8.853159,0.38481542,0.17136936,-0.7552502,8.981251,20.325,-53.775,5.0,0.0,12:03:38.613445,INDOOR
54,0.31064767,0.5398925,8.463503,0.25352547,-0.6951977,-1.6023768,4.1062503,21.075,-53.437504,5.0,0.0,12:03:38.939111,INDOOR
55,1.423353,0.06584055,11.645397,0.42050073,-1.0115719,-1.9428519,3.3000002,15.900001,-50.23125,5.0,4.3737497,12:03:39.145445,INDOOR
56,1.1133038,0.05267244,10.721235,-0.40106022,-0.23142187,-1.4792092,-2.2875001,12.76875,-48.281254,5.0,9.684999,12:03:39.536123,INDOOR
57,0.7134721,1.1384429,9.962274,-0.5772231,0.4464658,-1.3842703,-11.2875,6.3750005,-46.575,5.0,13.74625,12:03:39.757260,INDOOR
58,-1.073201,1.6053122,9.526528,-0.37083426,0.42529428,-1.294125,-14.250001,-8.325001,-42.75,5.0,31.865,12:03:40.046891,INDOOR
59,-1.0630256,1.9758149,10.020931,0.13821399,-0.8235583,-0.7904029,-15.712501,-14.94375,-40.29375,5.0,49.0475,12:03:40.297840,INDOOR
60,-0.57999533,0.25438392,11.128848,0.3904079,-0.14393961,-0.12556434,-14.55,-26.587502,-34.59375,5.0,63.4175,12:03:40.558962,INDOOR
61,-1.541866,0.7260417,9.303269,-0.07163692,-0.16564374,-0.68827367,-11.025001,-30.6,-32.49375,5.0,83.09875,12:03:40.866573,INDOOR
62,-0.39324763,1.685518,10.602123,-0.06511237,0.11358047,-0.09081112,-2.79375,-34.95,-30.900002,5.0,93.408745,12:03:41.173330,INDOOR
63,0.56982,1.06123,8.889072,-0.0057256273,0.064047135,0.1549914,0.50625,-39.075,-31.612501,5.0,122.14875,12:03:41.480387,INDOOR
64,0.12210429,2.1068976,10.414778,0.35232583,-0.052329574,-0.06258244,3.1125002,-40.3875,-31.0125,5.0,122.14875,12:03:41.787713,INDOOR
65,-0.45729253,1.1821371,11.861474,0.35232583,-0.052329574,-0.06258244,4.6687503,-41.362503,-30.093752,5.0,122.14875,12:03:41.797630,INDOOR
66,0.7284359,1.09834,8.747216,0.023701435,-0.10252868,-0.19946489,4.6687503,-41.362503,-30.093752,5.0,122.14875,12:03:41.891196,INDOOR
67,0.6039374,1.158195,9.049484,0.023701435,-0.10252868,-0.19946489,6.0375004,-42.037502,-29.41875,5.0,122.14875,12:03:41.992000,INDOOR
68,-1.4371196,1.5394717,9.808446,0.023701435,-0.10252868,-0.19946489,6.0375004,-42.037502,-29.41875,5.0,122.14875,12:03:42.096622,INDOOR
69,-0.8283938,1.7836803,9.547478,0.008655018,-0.33288532,-0.3953346,7.5000005,-42.037502,-29.41875,5.0,122.14875,12:03:42.197208,INDOOR
70,-1.252766,1.9393034,10.479421,0.008655018,-0.33288532,-0.3953346,7.5000005,-42.45,-28.968752,5.0,97.7825,12:03:42.202739,INDOOR
71,-0.05746084,2.2577322,9.772532,-0.047935486,-0.1436733,-0.0035951615,7.5000005,-42.45,-28.968752,5.0,59.981247,12:03:42.302237,INDOOR
72,-0.05267244,2.2697031,9.8683,-0.047935486,-0.1436733,-0.0035951615,8.3625,-42.75,-28.612501,5.0,21.86875,12:03:42.402630,INDOOR
73,0.02633622,2.2864625,8.965687,-0.047935486,-0.1436733,-0.0035951615,8.3625,-42.75,-28.612501,5.0,1.5625,12:03:42.505239,INDOOR
74,0.52732295,1.745373,11.212646,0.10572438,0.15685557,0.19147563,8.3625,-42.75,-28.612501,5.0,1.5625,12:03:42.520941,INDOOR
75,-0.10055647,1.9632454,7.9236107,0.10572438,0.15685557,0.19147563,9.5625,-43.10625,-28.556252,5.0,1.5625,12:03:42.709017,INDOOR
76,-0.5650316,2.3732524,8.886678,0.18268746,0.22050324,0.008122402,9.5625,-43.10625,-28.556252,5.0,1.5625,12:03:42.712054,INDOOR
77,0.04309563,2.0159178,11.294048,0.18268746,0.22050324,0.008122402,10.21875,-43.425003,-27.825,5.0,0.9375,12:03:42.812017,INDOOR
78,1.5047557,1.3790601,9.8754835,0.018108962,-0.19746757,0.008122402,10.21875,-43.425003,-27.825,5.0,0.9375,12:03:42.914688,INDOOR
79,2.1894975,1.1438298,8.1343,0.018108962,-0.19746757,-0.1033276,10.950001,-43.425003,-27.825,5.0,0.9375,12:03:42.932346,INDOOR
80,-0.06464344,2.0901382,9.396643,0.018108962,-0.19746757,-0.1033276,10.950001,-43.59375,-27.35625,5.0,0.9375,12:03:43.022525,INDOOR
81,-2.5893292,3.6140475,7.9475527,-0.20865251,-0.28295252,-1.0057131,10.950001,-43.59375,-27.35625,5.0,0.9375,12:03:43.119690,INDOOR
82,-1.0851719,3.3883939,11.619659,-0.20865251,-0.28295252,-1.0057131,12.093751,-43.59375,-27.112501,5.0,0.9375,12:03:43.220631,INDOOR
83,-1.8896236,3.0101101,9.332,-0.40185916,-0.23981059,-1.0057131,12.093751,-43.59375,-27.112501,5.0,0.0,12:03:43.323987,INDOOR
84,-0.15562311,3.5206735,6.855198,-0.40185916,-0.23981059,-0.39200574,13.44375,-43.59375,-27.112501,5.0,0.0,12:03:43.425542,INDOOR
85,-1.8249803,3.2279825,10.915166,-0.40185916,-0.23981059,-0.39200574,13.44375,-43.03125,-27.468752,5.0,0.0,12:03:43.434694,INDOOR
86,-0.30645782,3.1705215,10.465055,-0.12396649,0.21863908,0.28494984,13.44375,-43.03125,-27.468752,5.0,0.0,12:03:43.528687,INDOOR
87,-0.8475474,1.7118542,10.333375,-0.12396649,0.21863908,0.28494984,14.493751,-42.5625,-27.750002,5.0,0.0,12:03:43.630996,INDOOR
88,-0.32561144,2.7323828,7.542334,0.30705342,0.079626165,0.83354485,14.493751,-42.5625,-27.750002,5.0,0.0,12:03:43.733364,INDOOR
89,-1.2743138,1.8100165,10.943896,0.30705342,0.079626165,0.83354485,14.1,-40.631252,-26.681252,5.0,0.0,12:03:43.835194,INDOOR
90,-0.7134721,2.3756466,8.210915,0.13621667,0.079626165,0.83354485,14.1,-40.631252,-26.681252,5.0,0.0,12:03:43.842725,INDOOR
